	field	enumeration	enumeration_description
2874	in.county	TX, Kleberg County	
2875	in.county	TX, Knox County	
2876	in.county	TX, La Salle County	
2877	in.county	TX, Lamar County	
2878	in.county	TX, Lamb County	
2879	in.county	TX, Lampasas County	
2880	in.county	TX, Lavaca County	
2881	in.county	TX, Lee County	
2882	in.county	TX, Leon County	
2883	in.county	TX, Liberty County	
2884	in.county	TX, Limestone County	
2885	in.county	TX, Lipscomb County	
2886	in.county	TX, Live Oak County	
2887	in.county	TX, Llano County	
2888	in.county	TX, Lubbock County	
2889	in.county	TX, Lynn County	
2890	in.county	TX, Madison County	
2891	in.county	TX, Marion County	
2892	in.county	TX, Martin County	
2893	in.county	TX, Mason County	
2894	in.county	TX, Matagorda County	
2895	in.county	TX, Maverick County	
2896	in.county	TX, McCulloch County	
2897	in.county	TX, McLennan County	
2898	in.county	TX, McMullen County	
2899	in.county	TX, Medina County	
2900	in.county	TX, Menard County	
2901	in.county	TX, Midland County	
2902	in.county	TX, Milam County	
2903	in.county	TX, Mills County	
2904	in.county	TX, Mitchell County	
2905	in.county	TX, Montague County	
2906	in.county	TX, Montgomery County	
2907	in.county	TX, Moore County	
2908	in.county	TX, Morris County	
2909	in.county	TX, Motley County	
2910	in.county	TX, Nacogdoches County	
2911	in.county	TX, Navarro County	
2912	in.county	TX, Newton County	
2913	in.county	TX, Nolan County	
2914	in.county	TX, Nueces County	
2915	in.county	TX, Ochiltree County	
2916	in.county	TX, Oldham County	
2917	in.county	TX, Orange County	
2918	in.county	TX, Palo Pinto County	
2919	in.county	TX, Panola County	
2920	in.county	TX, Parker County	
2921	in.county	TX, Parmer County	
2922	in.county	TX, Pecos County	
2923	in.county	TX, Polk County	
2924	in.county	TX, Potter County	
2925	in.county	TX, Presidio County	
2926	in.county	TX, Rains County	
2927	in.county	TX, Randall County	
2928	in.county	TX, Reagan County	
2929	in.county	TX, Real County	
2930	in.county	TX, Red River County	
2931	in.county	TX, Reeves County	
2932	in.county	TX, Refugio County	
2933	in.county	TX, Roberts County	
2934	in.county	TX, Robertson County	
2935	in.county	TX, Rockwall County	
2936	in.county	TX, Runnels County	
2937	in.county	TX, Rusk County	
2938	in.county	TX, Sabine County	
2939	in.county	TX, San Augustine County	
2940	in.county	TX, San Jacinto County	
2941	in.county	TX, San Patricio County	
2942	in.county	TX, San Saba County	
2943	in.county	TX, Schleicher County	
2944	in.county	TX, Scurry County	
2945	in.county	TX, Shackelford County	
2946	in.county	TX, Shelby County	
2947	in.county	TX, Sherman County	
2948	in.county	TX, Smith County	
2949	in.county	TX, Somervell County	
2950	in.county	TX, Starr County	
2951	in.county	TX, Stephens County	
2952	in.county	TX, Sterling County	
2953	in.county	TX, Stonewall County	
2954	in.county	TX, Sutton County	
2955	in.county	TX, Swisher County	
2956	in.county	TX, Tarrant County	
2957	in.county	TX, Taylor County	
2958	in.county	TX, Terrell County	
2959	in.county	TX, Terry County	
2960	in.county	TX, Throckmorton County	
2961	in.county	TX, Titus County	
2962	in.county	TX, Tom Green County	
2963	in.county	TX, Travis County	
2964	in.county	TX, Trinity County	
2965	in.county	TX, Tyler County	
2966	in.county	TX, Upshur County	
2967	in.county	TX, Upton County	
2968	in.county	TX, Uvalde County	
2969	in.county	TX, Val Verde County	
2970	in.county	TX, Van Zandt County	
2971	in.county	TX, Victoria County	
2972	in.county	TX, Walker County	
2973	in.county	TX, Waller County	
2974	in.county	TX, Ward County	
2975	in.county	TX, Washington County	
2976	in.county	TX, Webb County	
2977	in.county	TX, Wharton County	
2978	in.county	TX, Wheeler County	
2979	in.county	TX, Wichita County	
2980	in.county	TX, Wilbarger County	
2981	in.county	TX, Willacy County	
2982	in.county	TX, Williamson County	
2983	in.county	TX, Wilson County	
2984	in.county	TX, Winkler County	
2985	in.county	TX, Wise County	
2986	in.county	TX, Wood County	
2987	in.county	TX, Yoakum County	
2988	in.county	TX, Young County	
2989	in.county	TX, Zapata County	
2990	in.county	TX, Zavala County	
2991	in.county	UT, Beaver County	
2992	in.county	UT, Box Elder County	
2993	in.county	UT, Cache County	
2994	in.county	UT, Carbon County	
2995	in.county	UT, Daggett County	
2996	in.county	UT, Davis County	
2997	in.county	UT, Duchesne County	
2998	in.county	UT, Emery County	
2999	in.county	UT, Garfield County	
3000	in.county	UT, Grand County	
3001	in.county	UT, Iron County	
3002	in.county	UT, Juab County	
3003	in.county	UT, Kane County	
3004	in.county	UT, Millard County	
3005	in.county	UT, Morgan County	
3006	in.county	UT, Piute County	
3007	in.county	UT, Rich County	
3008	in.county	UT, Salt Lake County	
3009	in.county	UT, San Juan County	
3010	in.county	UT, Sanpete County	
3011	in.county	UT, Sevier County	
3012	in.county	UT, Summit County	
3013	in.county	UT, Tooele County	
3014	in.county	UT, Uintah County	
3015	in.county	UT, Utah County	
3016	in.county	UT, Wasatch County	
3017	in.county	UT, Washington County	
3018	in.county	UT, Wayne County	
3019	in.county	UT, Weber County	
3020	in.county	VA, Accomack County	
3021	in.county	VA, Albemarle County	
3022	in.county	VA, Alexandria city	
3023	in.county	VA, Alleghany County	
3024	in.county	VA, Amelia County	
3025	in.county	VA, Amherst County	
3026	in.county	VA, Appomattox County	
3027	in.county	VA, Arlington County	
3028	in.county	VA, Augusta County	
3029	in.county	VA, Bath County	
3030	in.county	VA, Bedford County	
3031	in.county	VA, Bland County	
3032	in.county	VA, Botetourt County	
3033	in.county	VA, Bristol city	
3034	in.county	VA, Brunswick County	
3035	in.county	VA, Buchanan County	
3036	in.county	VA, Buckingham County	
3037	in.county	VA, Buena Vista city	
3038	in.county	VA, Campbell County	
3039	in.county	VA, Caroline County	
3040	in.county	VA, Carroll County	
3041	in.county	VA, Charles City County	
3042	in.county	VA, Charlotte County	
3043	in.county	VA, Charlottesville city	
3044	in.county	VA, Chesapeake city	
3045	in.county	VA, Chesterfield County	
3046	in.county	VA, Clarke County	
3047	in.county	VA, Colonial Heights city	
3048	in.county	VA, Covington city	
3049	in.county	VA, Craig County	
3050	in.county	VA, Culpeper County	
3051	in.county	VA, Cumberland County	
3052	in.county	VA, Danville city	
3053	in.county	VA, Dickenson County	
3054	in.county	VA, Dinwiddie County	
3055	in.county	VA, Emporia city	
3056	in.county	VA, Essex County	
3057	in.county	VA, Fairfax County	
3058	in.county	VA, Fairfax city	
3059	in.county	VA, Falls Church city	
3060	in.county	VA, Fauquier County	
3061	in.county	VA, Floyd County	
3062	in.county	VA, Fluvanna County	
3063	in.county	VA, Franklin County	
3064	in.county	VA, Franklin city	
3065	in.county	VA, Frederick County	
3066	in.county	VA, Fredericksburg city	
3067	in.county	VA, Galax city	
3068	in.county	VA, Giles County	
3069	in.county	VA, Gloucester County	
3070	in.county	VA, Goochland County	
3071	in.county	VA, Grayson County	
3072	in.county	VA, Greene County	
3073	in.county	VA, Greensville County	
3074	in.county	VA, Halifax County	
3075	in.county	VA, Hampton city	
3076	in.county	VA, Hanover County	
3077	in.county	VA, Harrisonburg city	
3078	in.county	VA, Henrico County	
3079	in.county	VA, Henry County	
3080	in.county	VA, Highland County	
3081	in.county	VA, Hopewell city	
3082	in.county	VA, Isle of Wight County	
3083	in.county	VA, James City County	
3084	in.county	VA, King George County	
3085	in.county	VA, King William County	
3086	in.county	VA, King and Queen County	
3087	in.county	VA, Lancaster County	
3088	in.county	VA, Lee County	
3089	in.county	VA, Lexington city	
3090	in.county	VA, Loudoun County	
3091	in.county	VA, Louisa County	
3092	in.county	VA, Lunenburg County	
3093	in.county	VA, Lynchburg city	
3094	in.county	VA, Madison County	
3095	in.county	VA, Manassas Park city	
3096	in.county	VA, Manassas city	
3097	in.county	VA, Martinsville city	
3098	in.county	VA, Mathews County	
3099	in.county	VA, Mecklenburg County	
3100	in.county	VA, Middlesex County	
3101	in.county	VA, Montgomery County	
3102	in.county	VA, Nelson County	
3103	in.county	VA, New Kent County	
3104	in.county	VA, Newport News city	
3105	in.county	VA, Norfolk city	
3106	in.county	VA, Northampton County	
3107	in.county	VA, Northumberland County	
3108	in.county	VA, Norton city	
3109	in.county	VA, Nottoway County	
3110	in.county	VA, Orange County	
3111	in.county	VA, Page County	
3112	in.county	VA, Patrick County	
3113	in.county	VA, Petersburg city	
3114	in.county	VA, Pittsylvania County	
3115	in.county	VA, Poquoson city	
3116	in.county	VA, Portsmouth city	
3117	in.county	VA, Powhatan County	
3118	in.county	VA, Prince Edward County	
3119	in.county	VA, Prince George County	
3120	in.county	VA, Prince William County	
3121	in.county	VA, Pulaski County	
3122	in.county	VA, Radford city	
3123	in.county	VA, Rappahannock County	
3124	in.county	VA, Richmond County	
3125	in.county	VA, Richmond city	
3126	in.county	VA, Roanoke County	
3127	in.county	VA, Roanoke city	
3128	in.county	VA, Rockbridge County	
3129	in.county	VA, Rockingham County	
3130	in.county	VA, Russell County	
3131	in.county	VA, Salem city	
3132	in.county	VA, Scott County	
3133	in.county	VA, Shenandoah County	
3134	in.county	VA, Smyth County	
3135	in.county	VA, Southampton County	
3136	in.county	VA, Spotsylvania County	
3137	in.county	VA, Stafford County	
3138	in.county	VA, Staunton city	
3139	in.county	VA, Suffolk city	
3140	in.county	VA, Surry County	
3141	in.county	VA, Sussex County	
3142	in.county	VA, Tazewell County	
3143	in.county	VA, Virginia Beach city	
3144	in.county	VA, Warren County	
3145	in.county	VA, Washington County	
3146	in.county	VA, Waynesboro city	
3147	in.county	VA, Westmoreland County	
3148	in.county	VA, Williamsburg city	
3149	in.county	VA, Winchester city	
3150	in.county	VA, Wise County	
3151	in.county	VA, Wythe County	
3152	in.county	VA, York County	
3153	in.county	VT, Addison County	
3154	in.county	VT, Bennington County	
3155	in.county	VT, Caledonia County	
3156	in.county	VT, Chittenden County	
3157	in.county	VT, Essex County	
3158	in.county	VT, Franklin County	
3159	in.county	VT, Grand Isle County	
3160	in.county	VT, Lamoille County	
3161	in.county	VT, Orange County	
3162	in.county	VT, Orleans County	
3163	in.county	VT, Rutland County	
3164	in.county	VT, Washington County	
3165	in.county	VT, Windham County	
3166	in.county	VT, Windsor County	
3167	in.county	WA, Adams County	
3168	in.county	WA, Asotin County	
3169	in.county	WA, Benton County	
3170	in.county	WA, Chelan County	
3171	in.county	WA, Clallam County	
3172	in.county	WA, Clark County	
3173	in.county	WA, Columbia County	
3174	in.county	WA, Cowlitz County	
3175	in.county	WA, Douglas County	
3176	in.county	WA, Ferry County	
3177	in.county	WA, Franklin County	
3178	in.county	WA, Garfield County	
3179	in.county	WA, Grant County	
3180	in.county	WA, Grays Harbor County	
3181	in.county	WA, Island County	
3182	in.county	WA, Jefferson County	
3183	in.county	WA, King County	
3184	in.county	WA, Kitsap County	
3185	in.county	WA, Kittitas County	
3186	in.county	WA, Klickitat County	
3187	in.county	WA, Lewis County	
3188	in.county	WA, Lincoln County	
3189	in.county	WA, Mason County	
3190	in.county	WA, Okanogan County	
3191	in.county	WA, Pacific County	
3192	in.county	WA, Pend Oreille County	
3193	in.county	WA, Pierce County	
3194	in.county	WA, San Juan County	
3195	in.county	WA, Skagit County	
3196	in.county	WA, Skamania County	
3197	in.county	WA, Snohomish County	
3198	in.county	WA, Spokane County	
3199	in.county	WA, Stevens County	
3200	in.county	WA, Thurston County	
3201	in.county	WA, Wahkiakum County	
3202	in.county	WA, Walla Walla County	
3203	in.county	WA, Whatcom County	
3204	in.county	WA, Whitman County	
3205	in.county	WA, Yakima County	
3206	in.county	WI, Adams County	
3207	in.county	WI, Ashland County	
3208	in.county	WI, Barron County	
3209	in.county	WI, Bayfield County	
3210	in.county	WI, Brown County	
3211	in.county	WI, Buffalo County	
3212	in.county	WI, Burnett County	
3213	in.county	WI, Calumet County	
3214	in.county	WI, Chippewa County	
3215	in.county	WI, Clark County	
3216	in.county	WI, Columbia County	
3217	in.county	WI, Crawford County	
3218	in.county	WI, Dane County	
3219	in.county	WI, Dodge County	
3220	in.county	WI, Door County	
3221	in.county	WI, Douglas County	
3222	in.county	WI, Dunn County	
3223	in.county	WI, Eau Claire County	
3224	in.county	WI, Florence County	
3225	in.county	WI, Fond du Lac County	
3226	in.county	WI, Forest County	
3227	in.county	WI, Grant County	
3228	in.county	WI, Green County	
3229	in.county	WI, Green Lake County	
3230	in.county	WI, Iowa County	
3231	in.county	WI, Iron County	
3232	in.county	WI, Jackson County	
3233	in.county	WI, Jefferson County	
3234	in.county	WI, Juneau County	
3235	in.county	WI, Kenosha County	
3236	in.county	WI, Kewaunee County	
3237	in.county	WI, La Crosse County	
3238	in.county	WI, Lafayette County	
3239	in.county	WI, Langlade County	
3240	in.county	WI, Lincoln County	
3241	in.county	WI, Manitowoc County	
3242	in.county	WI, Marathon County	
3243	in.county	WI, Marinette County	
3244	in.county	WI, Marquette County	
3245	in.county	WI, Menominee County	
3246	in.county	WI, Milwaukee County	
3247	in.county	WI, Monroe County	
3248	in.county	WI, Oconto County	
3249	in.county	WI, Oneida County	
3250	in.county	WI, Outagamie County	
3251	in.county	WI, Ozaukee County	
3252	in.county	WI, Pepin County	
3253	in.county	WI, Pierce County	
3254	in.county	WI, Polk County	
3255	in.county	WI, Portage County	
3256	in.county	WI, Price County	
3257	in.county	WI, Racine County	
3258	in.county	WI, Richland County	
3259	in.county	WI, Rock County	
3260	in.county	WI, Rusk County	
3261	in.county	WI, Sauk County	
3262	in.county	WI, Sawyer County	
3263	in.county	WI, Shawano County	
3264	in.county	WI, Sheboygan County	
3265	in.county	WI, St. Croix County	
3266	in.county	WI, Taylor County	
3267	in.county	WI, Trempealeau County	
3268	in.county	WI, Vernon County	
3269	in.county	WI, Vilas County	
3270	in.county	WI, Walworth County	
3271	in.county	WI, Washburn County	
3272	in.county	WI, Washington County	
3273	in.county	WI, Waukesha County	
3274	in.county	WI, Waupaca County	
3275	in.county	WI, Waushara County	
3276	in.county	WI, Winnebago County	
3277	in.county	WI, Wood County	
3278	in.county	WV, Barbour County	
3279	in.county	WV, Berkeley County	
3280	in.county	WV, Boone County	
3281	in.county	WV, Braxton County	
3282	in.county	WV, Brooke County	
3283	in.county	WV, Cabell County	
3284	in.county	WV, Calhoun County	
3285	in.county	WV, Clay County	
3286	in.county	WV, Doddridge County	
3287	in.county	WV, Fayette County	
3288	in.county	WV, Gilmer County	
3289	in.county	WV, Grant County	
3290	in.county	WV, Greenbrier County	
3291	in.county	WV, Hampshire County	
3292	in.county	WV, Hancock County	
3293	in.county	WV, Hardy County	
3294	in.county	WV, Harrison County	
3295	in.county	WV, Jackson County	
3296	in.county	WV, Jefferson County	
3297	in.county	WV, Kanawha County	
3298	in.county	WV, Lewis County	
3299	in.county	WV, Lincoln County	
3300	in.county	WV, Logan County	
3301	in.county	WV, Marion County	
3302	in.county	WV, Marshall County	
3303	in.county	WV, Mason County	
3304	in.county	WV, McDowell County	
3305	in.county	WV, Mercer County	
3306	in.county	WV, Mineral County	
3307	in.county	WV, Mingo County	
3308	in.county	WV, Monongalia County	
3309	in.county	WV, Monroe County	
3310	in.county	WV, Morgan County	
3311	in.county	WV, Nicholas County	
3312	in.county	WV, Ohio County	
3313	in.county	WV, Pendleton County	
3314	in.county	WV, Pleasants County	
3315	in.county	WV, Pocahontas County	
3316	in.county	WV, Preston County	
3317	in.county	WV, Putnam County	
3318	in.county	WV, Raleigh County	
3319	in.county	WV, Randolph County	
3320	in.county	WV, Ritchie County	
3321	in.county	WV, Roane County	
3322	in.county	WV, Summers County	
3323	in.county	WV, Taylor County	
3324	in.county	WV, Tucker County	
3325	in.county	WV, Tyler County	
3326	in.county	WV, Upshur County	
3327	in.county	WV, Wayne County	
3328	in.county	WV, Webster County	
3329	in.county	WV, Wetzel County	
3330	in.county	WV, Wirt County	
3331	in.county	WV, Wood County	
3332	in.county	WV, Wyoming County	
3333	in.county	WY, Albany County	
3334	in.county	WY, Big Horn County	
3335	in.county	WY, Campbell County	
3336	in.county	WY, Carbon County	
3337	in.county	WY, Converse County	
3338	in.county	WY, Crook County	
3339	in.county	WY, Fremont County	
3340	in.county	WY, Goshen County	
3341	in.county	WY, Hot Springs County	
3342	in.county	WY, Johnson County	
3343	in.county	WY, Laramie County	
3344	in.county	WY, Lincoln County	
3345	in.county	WY, Natrona County	
3346	in.county	WY, Niobrara County	
3347	in.county	WY, Park County	
3348	in.county	WY, Platte County	
3349	in.county	WY, Sheridan County	
3350	in.county	WY, Sublette County	
3351	in.county	WY, Sweetwater County	
3352	in.county	WY, Teton County	
3353	in.county	WY, Uinta County	
3354	in.county	WY, Washakie County	
3355	in.county	WY, Weston County	
3356	in.dehumidifier	None	No dehumidifier
3357	in.dishwasher	290 Rated kWh, 100% Usage	290 kWh rated dishwasher with usage set to 100% the national average
3358	in.dishwasher	290 Rated kWh, 120% Usage	290 kWh rated dishwasher with usage set to 120% the national average
3359	in.dishwasher	290 Rated kWh, 80% Usage	290 kWh rated dishwasher with usage set to 80% the national average
3360	in.dishwasher	318 Rated kWh, 100% Usage	318 kWh rated dishwasher with usage set to 100% the national average
3361	in.dishwasher	318 Rated kWh, 120% Usage	318 kWh rated dishwasher with usage set to 120% the national average
3362	in.dishwasher	318 Rated kWh, 80% Usage	318 kWh rated dishwasher with usage set to 80% the national average
3363	in.dishwasher	None	No dishwasher
3364	in.door_area	20 ft^2	20ft2 door area
3365	in.doors	Fiberglass	Fiberglass door material
3366	in.ducts	0% Leakage, Uninsulated	0% of duct airflow lost to leakage; ducts are uninsulated
3367	in.ducts	10% Leakage, R-4	10% of duct airflow is lost to leakage; nominal duct insulation is R-4
3368	in.ducts	10% Leakage, R-6	10% of duct airflow is lost to leakage; nominal duct insulation is R-6
3369	in.ducts	10% Leakage, R-8	10% of duct airflow is lost to leakage; nominal duct insulation is R-8
3370	in.ducts	10% Leakage, Uninsulated	10% of duct airflow is lost to leakage; ducts are uninsulated
3371	in.ducts	20% Leakage, R-4	20% of duct airflow is lost to leakage; nominal duct insulation is R-4
3372	in.ducts	20% Leakage, R-6	20% of duct airflow is lost to leakage; nominal duct insulation is R-6
3373	in.ducts	20% Leakage, R-8	20% of duct airflow is lost to leakage; nominal duct insulation is R-8
3374	in.ducts	20% Leakage, Uninsulated	20% of duct airflow is lost to leakage; ducts are uninsulated
3375	in.ducts	30% Leakage, R-4	30% of duct airflow is lost to leakage; nominal duct insulation is R-4
3376	in.ducts	30% Leakage, R-6	30% of duct airflow is lost to leakage; nominal duct insulation is R-6
3377	in.ducts	30% Leakage, R-8	30% of duct airflow is lost to leakage; nominal duct insulation is R-8
3378	in.ducts	30% Leakage, Uninsulated	30% of duct airflow is lost to leakage; ducts are uninsulated
3379	in.ducts	None	No ducts exist
3380	in.eaves	2 ft	2ft eaves depth
3381	in.electric_vehicle	None	No electric vehicle load
3382	in.geometry_attic_type	Finished Attic or Cathedral Ceilings	Living space extends up to the roof structure
3383	in.geometry_attic_type	None	No attic
3384	in.geometry_attic_type	Vented Attic	Attic space is unfinished
3385	in.geometry_building_horizontal_location_mf	Left	Unit is located on the left side of a multifamily building, and has a shared right wall
3386	in.geometry_building_horizontal_location_mf	Middle	Unit is located in the middle of a multifamily building, and has shared walls on the left and right
3387	in.geometry_building_horizontal_location_mf	None	Unit is not part of a multifamily building
3388	in.geometry_building_horizontal_location_mf	Not Applicable	Unit does not have shared walls on the right or left
3389	in.geometry_building_horizontal_location_mf	Right	Unit is located on the right side of a multifamily building, and has a shared left wall
3390	in.geometry_building_horizontal_location_sfa	Left	Unit is located on the left side of a multifamily building, and has a shared right wall
3391	in.geometry_building_horizontal_location_sfa	Middle	Unit is located in the middle of a single-family attached building, and has shared walls on the left and right
3392	in.geometry_building_horizontal_location_sfa	None	Unit is not part of a single-family attached building
3393	in.geometry_building_horizontal_location_sfa	Right	Unit is located on the right side of a single-family attached building, and has a shared left wall
3394	in.geometry_building_level_mf	Bottom	Unit is on the bottom level of a multifamily building, and may have a shared ceiling
3395	in.geometry_building_level_mf	Middle	Unit is in a middle level of a multifamily building and has a shared floor and ceiling
3396	in.geometry_building_level_mf	None	Not a multifamily building unit
3397	in.geometry_building_level_mf	Top	Unit is on the top level of a multifamily building and has a shared floor
3398	in.geometry_building_number_units_mf	10	Unit is in a multifamily building with 10 units
3399	in.geometry_building_number_units_mf	11	Unit is in a multifamily building with 11 units
3400	in.geometry_building_number_units_mf	116	Unit is in a multifamily building with 116 units
3401	in.geometry_building_number_units_mf	12	Unit is in a multifamily building with 12 units
3402	in.geometry_building_number_units_mf	13	Unit is in a multifamily building with 13 units
3403	in.geometry_building_number_units_mf	14	Unit is in a multifamily building with 14 units
3404	in.geometry_building_number_units_mf	15	Unit is in a multifamily building with 15 units
3405	in.geometry_building_number_units_mf	16	Unit is in a multifamily building with 16 units
3406	in.geometry_building_number_units_mf	17	Unit is in a multifamily building with 17 units
3407	in.geometry_building_number_units_mf	18	Unit is in a multifamily building with 18 units
3408	in.geometry_building_number_units_mf	183	Unit is in a multifamily building with 183 units
3409	in.geometry_building_number_units_mf	19	Unit is in a multifamily building with 19 units
3410	in.geometry_building_number_units_mf	2	Unit is in a multifamily building with 2 units
3411	in.geometry_building_number_units_mf	20	Unit is in a multifamily building with 20 units
3412	in.geometry_building_number_units_mf	24	Unit is in a multifamily building with 24 units
3413	in.geometry_building_number_units_mf	3	Unit is in a multifamily building with 3 units
3414	in.geometry_building_number_units_mf	30	Unit is in a multifamily building with 30 units
3415	in.geometry_building_number_units_mf	323	Unit is in a multifamily building with 323 units
3416	in.geometry_building_number_units_mf	36	Unit is in a multifamily building with 36 units
3417	in.geometry_building_number_units_mf	4	Unit is in a multifamily building with 4 units
3418	in.geometry_building_number_units_mf	43	Unit is in a multifamily building with 43 units
3419	in.geometry_building_number_units_mf	5	Unit is in a multifamily building with 5 units
3420	in.geometry_building_number_units_mf	6	Unit is in a multifamily building with 6 units
3421	in.geometry_building_number_units_mf	67	Unit is in a multifamily building with 67 units
3422	in.geometry_building_number_units_mf	7	Unit is in a multifamily building with 7 units
3423	in.geometry_building_number_units_mf	8	Unit is in a multifamily building with 8 units
3424	in.geometry_building_number_units_mf	9	Unit is in a multifamily building with 9 units
3425	in.geometry_building_number_units_mf	None	Unit is not part of a multifamily building
3426	in.geometry_building_number_units_sfa	10	Unit is in a single-family attached building with 10 units
3427	in.geometry_building_number_units_sfa	12	Unit is in a single-family attached building with 12 units
3428	in.geometry_building_number_units_sfa	144	Unit is in a single-family attached building with 144 units
3429	in.geometry_building_number_units_sfa	15	Unit is in a single-family attached building with 15 units
3430	in.geometry_building_number_units_sfa	16	Unit is in a single-family attached building with 16 units
3431	in.geometry_building_number_units_sfa	20	Unit is in a single-family attached building with 20 units
3432	in.geometry_building_number_units_sfa	24	Unit is in a single-family attached building with 24 units
3433	in.geometry_building_number_units_sfa	30	Unit is in a single-family attached building with 30 units
3434	in.geometry_building_number_units_sfa	36	Unit is in a single-family attached building with 36 units
3435	in.geometry_building_number_units_sfa	5	Unit is in a single-family attached building with 5 units
3436	in.geometry_building_number_units_sfa	50	Unit is in a single-family attached building with 50 units
3437	in.geometry_building_number_units_sfa	6	Unit is in a single-family attached building with 6 units
3438	in.geometry_building_number_units_sfa	60	Unit is in a single-family attached building with 60 units
3439	in.geometry_building_number_units_sfa	7	Unit is in a single-family attached building with 7 units
3440	in.geometry_building_number_units_sfa	8	Unit is in a single-family attached building with 8 units
3441	in.geometry_building_number_units_sfa	90	Unit is in a single-family attached building with 90 units
3442	in.geometry_building_number_units_sfa	None	Unit is not part of a single-family attached building
3443	in.geometry_building_type_acs	10 to 19 Unit	Multifamily building with 10 to 19 units, as defined by the American Community Survey
3444	in.geometry_building_type_acs	2 Unit	Multifamily building with 2 units, as defined by the American Community Survey
3445	in.geometry_building_type_acs	20 to 49 Unit	Multifamily building with 20 to 49 units, as defined by the American Community Survey
3446	in.geometry_building_type_acs	3 or 4 Unit	Multifamily building with 3 to 4 units, as defined by the American Community Survey
3447	in.geometry_building_type_acs	5 to 9 Unit	Multifamily building with 5 to 9 units, as defined by the American Community Survey
3448	in.geometry_building_type_acs	50 or more Unit	Multifamily building with 50 or more units, as defined by the American Community Survey
3449	in.geometry_building_type_acs	Mobile Home	Mobile home building type as defined by the American Community Survey
3450	in.geometry_building_type_acs	Single-Family Attached	Single-family attached building type as defined by the American Community Survey
3451	in.geometry_building_type_acs	Single-Family Detached	Single-family detached building type as defined by the American Community Survey
3452	in.geometry_building_type_height	Mobile Home	Mobile home building type
3453	in.geometry_building_type_height	Multifamily with 2-4 Units	Multifamily building with 2-4 Units
3454	in.geometry_building_type_height	Multifamily with 5+ units, 1-3 stories	Multifamily building with 5 or more units and 1 to 3 stories (low-rise)
3455	in.geometry_building_type_height	Multifamily with 5+ units, 4-7 stories	Multifamily building with 5 or more units and 4 to 7 stories (mid-rise)
3456	in.geometry_building_type_height	Multifamily with 5+ units, 8+ stories	Multifamily building with 5 or more units and more than 8 stories (high-rise)
3457	in.geometry_building_type_height	Single-Family Attached	Single-family attached building type
3458	in.geometry_building_type_height	Single-Family Detached	Single-family detached building type
3459	in.geometry_building_type_recs	Mobile Home	Mobile home building type as defined by RECS 2009
3460	in.geometry_building_type_recs	Multi-Family with 2 - 4 Units	Multifamily building type with 2 to 4 units as defined by RECS 2009
3461	in.geometry_building_type_recs	Multi-Family with 5+ Units	Multifamily building type with more than 5 units as defined by RECS 2009
3462	in.geometry_building_type_recs	Single-Family Attached	Single-family attached building type as defined by RECS 2009
3463	in.geometry_building_type_recs	Single-Family Detached	Single-family detached building type as defined by RECS 2009
3464	in.geometry_floor_area	0-499	Finished floor area bin from 0 to 499 ft2
3465	in.geometry_floor_area	1000-1499	Finished floor area bin from 1000 to 1499 ft2
3466	in.geometry_floor_area	1500-1999	Finished floor area bin from 1500 to 1999 ft2
3467	in.geometry_floor_area	2000-2499	Finished floor area bin from 2000 to 2499 ft2
3468	in.geometry_floor_area	2500-2999	Finished floor area bin from 2500 to 2999 ft2
3469	in.geometry_floor_area	3000-3999	Finished floor area bin from 3000 to 3999 ft2
3470	in.geometry_floor_area	4000+	Finished floor area bin 4000 ft2 and greater
3471	in.geometry_floor_area	500-749	Finished floor area bin from 500 to 749 ft2
3472	in.geometry_floor_area	750-999	Finished floor area bin from 750 to 999 ft2
3473	in.geometry_floor_area_bin	0-1499	Finished floor area bin from 0 to 1499 ft2
3474	in.geometry_floor_area_bin	1500-2499	Finished floor area bin from 1500 to 2499 ft2
3475	in.geometry_floor_area_bin	2500-3999	Finished floor area bin from 2500 to 3999 ft2
3476	in.geometry_floor_area_bin	4000+	Finished floor area bin 4000 ft2 and greater
3477	in.geometry_foundation_type	Ambient	Pier and beam foundation
3478	in.geometry_foundation_type	Heated Basement	Heated basement foundation
3479	in.geometry_foundation_type	Slab	Slab foundation
3480	in.geometry_foundation_type	Unheated Basement	Unheated basement foundation
3481	in.geometry_foundation_type	Unvented Crawlspace	Unvented crawlspace foundation
3482	in.geometry_foundation_type	Vented Crawlspace	Vented crawlspace foundation
3483	in.geometry_garage	1 Car	Building has a 1 car garage
3484	in.geometry_garage	2 Car	Building has a 2 car garage
3485	in.geometry_garage	3 Car	Building has a 3 car garage
3486	in.geometry_garage	None	Building does not have a garage
3487	in.geometry_stories	True	1 story building
3488	in.geometry_stories	10	10 story building
3489	in.geometry_stories	11	11 story building
3490	in.geometry_stories	12	12 story building
3491	in.geometry_stories	13	13 story building
3492	in.geometry_stories	14	14 story building
3493	in.geometry_stories	15	15 story building
3494	in.geometry_stories	2	2 story building
3495	in.geometry_stories	20	20 story building
3496	in.geometry_stories	21	21 story building
3497	in.geometry_stories	3	3 story building
3498	in.geometry_stories	4	4 story building
3499	in.geometry_stories	5	5 story building
3500	in.geometry_stories	6	6 story building
3501	in.geometry_stories	7	7 story building
3502	in.geometry_stories	8	8 story building
3503	in.geometry_stories	9	9 story building
3504	in.geometry_stories_low_rise	True	1 story building
